Sl. No.,State,District,Block,Village,TYPE,SOURCE,Site_Name,Latitude,Longitude,Well Depth,Aquifier,Level Depth Ratio,Pre_2015,Pst_2015,Pre_2016,Pst_2016,Pre_2017,Pst_2017,Pre_2018,Pst_2018,Pre_2019,Pst_2019,Final Count,Pre Diff 19 15,Pst Diff 19 15,Diff 2015,Diff 2016,Diff 2017,Diff 2018,Diff 2019,Avg Diff,Avg Pre,Avg Post ,Avg Level,Sign Diff 15,Sign Diff 16,Sign Diff 17,Sign Diff 18,Sign Diff 19,Sum Signed Diff
1,Gujarat,Mahesana,Jotana,Suraj,Piezometer,CGWB,Suraj,23.12694444,72.19305556,30,Unconfined,1.009837963,,35.34375,35.875,30.015625,30.75,28.375,27.953125,27,29.71875,27.625,9,,-7.71875,,-5.859375,-2.375,-0.953125,-2.09375,-2.82,31.07,29.67,30.30,0,-1,-1,-1,-1,-4
2,Gujarat,Mahesana,Jotana,Jotana,Piezometer,CGWB,Jotana Pziii,23.13055556,72.37611111,300,Confined,0.01598046875,4.9609375,4.69921875,5.26171875,5.1796875,5.76171875,4.51953125,4.62109375,4.23828125,4.80859375,3.890625,10,-0.15234375,-0.80859375,-0.26171875,-0.08203125,-1.2421875,-0.3828125,-0.91796875,-0.58,5.08,4.51,4.79,-1,-1,-1,-1,-1,-5
3,Gujarat,Kachchh,Bhuj,Kera,Piezometer,CGWB,Madhapar,23.14277778,69.7375,130,Confined,0.3780982906,47.875,50.78125,,47.53125,47.875,51.21875,47.96875,53.375,51.3125,44.4375,9,3.4375,-6.34375,2.90625,,3.34375,5.40625,-6.875,1.20,48.76,49.47,49.15,1,0,1,1,-1,2
4,Gujarat,Gandhinagar,Dehgam,Dehgam (M),Piezometer,CGWB,Dahegam I,23.17083333,72.84166667,107,Confined,0.4900769385,62.4375,62.4375,63.34375,,74.5625,3.029296875,73.9375,,65.4375,14.3203125,8,3,-48.1171875,0,,-71.53320313,,-51.1171875,-40.88,67.94,26.60,52.44,0,0,-1,0,-1,-2
5,Gujarat,Gandhinagar,Gandhinagar,Shertha,Piezometer,CGWB,Kasturinagar(IFFCO),23.19027778,72.55277778,47,Unconfined,0.2697307181,11.9921875,11.7265625,13.4296875,13.4765625,14.3515625,9.8515625,13.109375,13.703125,15.609375,9.5234375,10,3.6171875,-2.203125,-0.265625,0.046875,-4.5,0.59375,-6.0859375,-2.04,13.70,11.66,12.68,-1,1,-1,1,-1,-1
6,Gujarat,Mahesana,Kadi,Thol,Piezometer,CGWB,Thol Pz-III,23.20638889,72.27972222,163,Confined,0.5962303489,17.296875,107.3125,111,102.6875,112.8125,104.8125,,,118.0625,103.5,8,100.765625,-3.8125,90.015625,-8.3125,-8,,-14.5625,14.79,89.79,104.58,97.19,1,-1,-1,0,-1,-2
7,Gujarat,Kachchh,Bhuj,Madhapar,Piezometer,CGWB,Madhapar,23.25277778,69.43611111,150.05,Confined,0.3275759932,47.875,50.78125,,47.53125,47.875,51.21875,47.96875,53.375,51.3125,44.4375,9,3.4375,-6.34375,2.90625,,3.34375,5.40625,-6.875,1.20,48.76,49.47,49.15,1,0,1,1,-1,2
8,Gujarat,Gandhinagar,Kalol,Ola,Piezometer,CGWB,Kalol(Nest)_Pz_I,23.25833333,72.47222222,282,Confined,0.2857934397,64.625,64.3125,65.625,61.09375,62.59375,57.78125,73.8125,141,,134.5,9,,70.1875,-0.3125,-4.53125,-4.8125,67.1875,,14.38,66.66,91.74,80.59,-1,-1,-1,1,0,-2
9,Gujarat,Gandhinagar,Gandhinagar,Sardhav,Piezometer,CGWB,Sardhav Pz -I,23.29722222,72.57388889,390,Confined,0.3328205128,134.5,131.25,136.125,122.9375,137.5,113.625,117.5,118.5625,144.75,141.25,10,10.25,10,-3.25,-13.1875,-23.875,1.0625,-3.5,-8.55,134.08,125.53,129.80,-1,-1,-1,1,-1,-3
10,Gujarat,Gandhinagar,Kalol,Nardipur,Piezometer,CGWB,Nardipur  i,23.33194444,72.56666667,122,Confined,0.7856045082,95,95.25,96,96.5625,96.3125,92.25,,97.0625,,98.3125,8,,3.0625,0.25,0.5625,-4.0625,,,-1.08,95.77,95.89,95.84,1,1,-1,0,0,1
