,State,District,SOURCE,Latitude,Longitude,Well Depth,Pre_2015,Pre_2016,Pre_2017,Pre_2018,Pre_2019,Pst_2015,Pst_2016,Pst_2017,Pst_2018,Pst_2015
0,gujarat,Mahesana,CGWB,23.12694444,72.19305556,30.0,36.04522819907134,35.875,30.75,27.953125,29.71875,35.34375,30.015625,28.375,27.0,27.625
1,gujarat,Mahesana,CGWB,23.13055556,72.37611111,300.0,4.9609375,5.26171875,5.76171875,4.62109375,4.80859375,4.69921875,5.1796875,4.51953125,4.23828125,3.890625
2,gujarat,Kachchh,CGWB,23.14277778,69.7375,130.0,47.875,49.96709497420942,47.875,47.96875,51.3125,50.78125,47.53125,51.21875,53.375,44.4375
3,gujarat,Gandhinagar,CGWB,23.17083333,72.84166667,107.0,62.4375,63.34375,74.5625,73.9375,65.4375,62.4375,35.36440168133369,3.029296875,36.64766734679763,14.3203125
4,gujarat,Gandhinagar,CGWB,23.19027778,72.55277778,47.0,11.9921875,13.4296875,14.3515625,13.109375,15.609375,11.7265625,13.4765625,9.8515625,13.703125,9.5234375
5,gujarat,Mahesana,CGWB,23.20638889,72.27972222,163.0,17.296875,111.0,112.8125,123.3382726460708,118.0625,107.3125,102.6875,104.8125,119.87550552270493,103.5
6,gujarat,Kachchh,CGWB,23.25277778,69.43611111,150.05,47.875,49.925908579373385,47.875,47.96875,51.3125,50.78125,47.53125,51.21875,53.375,44.4375
7,gujarat,Gandhinagar,CGWB,23.25833333,72.47222222,282.0,64.625,65.625,62.59375,73.8125,131.4547461175025,64.3125,61.09375,57.78125,141.0,134.5
8,gujarat,Gandhinagar,CGWB,23.29722222,72.57388889,390.0,134.5,136.125,137.5,117.5,144.75,131.25,122.9375,113.625,118.5625,141.25
9,gujarat,Gandhinagar,CGWB,23.33194444,72.56666667,122.0,95.0,96.0,96.3125,95.52904693490729,99.27372742413903,95.25,96.5625,92.25,97.0625,98.3125
10,gujarat,Gandhinagar,CGWB,23.42305556,72.665,215.0,111.0,118.3125,119.5625,119.4375,124.0625,116.75,118.1875,114.8125,119.1875,119.25
11,gujarat,Gandhinagar,CGWB,23.48166667,72.65166667,239.0,99.0625,99.5625,100.75,101.5625,96.375,94.75,100.625,98.0,100.5625,101.9375
12,gujarat,Mahesana,CGWB,23.5225,72.53333333,57.59,48.0625,48.21875,48.0625,46.59375,48.8125,44.0,43.34375,43.375,44.90625,45.53125
13,gujarat,Mahesana,CGWB,23.53333333,72.38333333,494.4,5.69140625,6.3203125,5.94921875,5.1484375,4.921875,5.26171875,3.490234375,1.700195313,0.520935901203186,1.719726563
14,gujarat,Mahesana,CGWB,23.53388889,72.60416667,193.0,7.8515625,7.83984375,12.03125,7.7109375,12.7890625,7.73046875,7.75,11.046875,15.546875,14.75
15,gujarat,Mahesana,CGWB,23.5975,72.39861111,284.0,28.3125,29.359375,29.703125,29.453125,29.09375,25.21875,31.40625,27.828125,29.953125,29.734375
16,gujarat,Sabarkantha,CGWB,23.59944444,72.9025,68.0,17.59375,15.8984375,15.4921875,14.546875,15.8828125,12.139384528670854,7.69921875,8.703125,10.046875,8.5
